Time[ms],Realtime Tick,Present Position,Present Current,Goal Current,Present Velocity
1723,22145,-2447,101,87,0
1733,22155,-2445,85,87,0
1743,22165,-2439,87,87,2
1753,22175,-2431,87,87,6
1763,22185,-2423,86,87,12
1773,22195,-2417,86,87,18
1783,22205,-2411,86,87,25
1793,22215,-2404,86,87,31
1803,22225,-2394,84,87,37
1813,22235,-2380,86,87,43
1823,22245,-2363,85,87,49
1834,22256,-2343,85,87,58
1844,22266,-2322,85,87,68
1854,22276,-2303,87,87,80
1865,22287,-2282,-23,0,94
1875,22297,-2266,8,0,104
1885,22307,-2248,-6,0,110
1895,22317,-2235,-35,0,113
1905,22327,-2221,8,0,112
1915,22337,-2206,7,0,109
1925,22347,-2187,17,0,106
1935,22357,-2167,-5,0,105
1945,22367,-2148,8,0,106
1955,22377,-2133,7,0,106
1965,22387,-2119,9,0,107
1975,22397,-2107,11,0,106
1985,22407,-2098,22,0,104
1995,22417,-2088,-9,0,98
2005,22427,-2080,-33,0,91
2015,22437,-2073,8,0,81
2025,22447,-2066,13,0,73
2035,22457,-2058,11,0,65
2045,22467,-2049,19,0,59
2055,22477,-2041,0,0,55
2065,22487,-2033,-30,0,53
2075,22497,-2028,7,0,51
2085,22507,-2024,23,0,49
2095,22517,-2021,13,0,46
2105,22527,-2020,-3,0,42
2115,22537,-2016,1,0,37
2125,22547,-2014,0,0,32
2135,22557,-2013,0,0,26
2145,22567,-2012,2,0,22
2155,22577,-2011,1,0,18
2165,22587,-2010,2,0,15
2175,22597,-2010,4,0,12
2185,22607,-2009,1,0,10
2195,22617,-2009,0,0,7
2205,22627,-2010,0,0,5
2215,22637,-2011,0,0,3
2225,22647,-2013,0,0,1
2235,22657,-2015,0,0,0
2245,22667,-2016,0,0,-3
2255,22677,-2016,0,0,-5
2265,22687,-2016,0,0,-6
2275,22697,-2016,0,0,-6
2285,22707,-2016,0,0,-6
2295,22717,-2016,0,0,-4
2305,22727,-2016,0,0,-3
2316,22738,-2015,-26,-23,-1
2326,22748,-2015,-23,-23,0
2336,22758,-2015,-22,-23,0
2346,22768,-2016,-21,-23,1
2356,22778,-2017,-21,-23,0
2366,22788,-2019,-24,-23,0
2376,22798,-2020,-24,-23,-1
2386,22808,-2020,-24,-23,-3
2396,22818,-2021,-22,-23,-4
2405,22827,-2024,-21,-23,-6
2415,22837,-2027,-21,-23,-8
2425,22847,-2031,-24,-23,-9
2435,22857,-2035,-24,-23,-11
2446,22868,-2041,-151,-131,-14
2456,22878,-2051,-129,-131,-19
2466,22888,-2065,-130,-131,-26
2476,22898,-2080,-130,-131,-35
2487,22909,-2095,34,0,-46
2497,22919,-2103,11,0,-55
2507,22929,-2110,17,0,-61
2517,22939,-2115,22,0,-65
2527,22949,-2119,35,0,-64
2537,22959,-2127,27,0,-60
2547,22969,-2139,39,0,-56
2557,22979,-2154,25,0,-53
2567,22989,-2166,-8,0,-54
2577,22999,-2175,-19,0,-56
2587,23009,-2184,31,0,-59
2597,23019,-2188,-2,0,-62
2607,23029,-2188,1,0,-61
2617,23039,-2190,0,0,-55
2627,23049,-2193,0,0,-46
2637,23059,-2195,-1,0,-37
2647,23069,-2197,14,0,-29
2657,23079,-2199,-7,0,-22
2667,23089,-2203,-8,0,-18
2677,23099,-2207,29,0,-16
2687,23109,-2210,8,0,-17
2697,23119,-2211,-1,0,-18
2707,23129,-2210,-8,0,-17
2717,23139,-2210,0,0,-16
2727,23149,-2209,2,0,-13
2737,23159,-2209,1,0,-10
2747,23169,-2209,0,0,-7
2757,23179,-2209,0,0,-3
2767,23189,-2210,0,0,-1
2777,23199,-2211,0,0,0
2787,23209,-2213,0,0,-1
2797,23219,-2214,0,0,-2
2807,23229,-2214,0,0,-3
2817,23239,-2214,0,0,-4
2827,23249,-2215,0,0,-4
2837,23259,-2215,0,0,-5
2847,23269,-2215,0,0,-4
