Time[ms],Realtime Tick,Present Position,Goal Position,Present Current,Goal Current,Present Velocity,Goal Velocity,Present PWM,Present Input Voltage
0,4224,2046,2046,0,1193,0,200,0,121
100,4324,2046,2046,0,1193,0,200,0,121
200,4424,2046,2046,0,1193,0,200,0,121
300,4524,2046,2046,0,1193,0,200,0,121
318,4542,2046,2046,0,1193,0,200,0,121
327,4551,2046,2046,0,1193,0,200,0,121
337,4561,2046,2046,0,1193,0,200,0,121
347,4571,2046,2046,0,1193,0,200,0,121
357,4581,2046,2046,0,1193,0,200,0,121
367,4591,2046,2046,0,1193,0,200,0,121
377,4601,2046,2046,0,1193,0,200,0,121
387,4611,2046,2046,0,1193,0,200,0,121
397,4621,2046,2046,0,1193,0,200,0,121
407,4631,2046,2046,0,1193,0,200,0,121
417,4641,2046,2046,0,1193,0,200,0,121
427,4651,2046,2046,0,1193,0,200,0,121
437,4661,2046,2046,0,1193,0,200,0,121
446,4670,2046,2046,0,1193,0,200,0,121
455,4679,2046,2046,0,1193,0,200,0,121
465,4689,2046,2046,0,1193,0,200,0,121
474,4698,2046,2046,0,1193,0,200,0,121
484,4708,2046,2046,0,1193,0,200,0,121
494,4718,2046,2046,0,1193,0,200,0,121
504,4728,2046,2046,0,1193,0,200,0,121
514,4738,2046,2046,0,1193,0,200,0,121
524,4748,2046,2046,0,1193,0,200,0,121
534,4758,2046,2046,0,1193,0,200,0,121
544,4768,2046,2046,0,1193,0,200,0,121
554,4778,2046,2046,0,1193,0,200,0,121
564,4788,2046,2046,0,1193,0,200,0,121
574,4798,2046,2046,0,1193,0,200,0,121
584,4808,2046,2046,0,1193,0,200,0,121
594,4818,2046,2046,0,1193,0,200,0,121
604,4828,2046,2046,0,1193,0,200,0,121
614,4838,2046,2046,0,1193,0,200,0,121
624,4848,2046,2046,0,1193,0,200,0,121
634,4858,2046,2046,0,1193,0,200,0,121
644,4868,2046,2046,0,1193,0,200,0,121
654,4878,2046,2046,0,1193,0,200,0,121
664,4888,2046,2046,0,1193,0,200,0,121
674,4898,2046,2046,0,1193,0,200,0,121
684,4908,2046,2046,0,1193,0,200,0,121
694,4918,2046,2046,0,1193,0,200,0,121
704,4928,2046,2046,0,1193,0,200,0,121
714,4938,2046,2046,0,1193,0,200,0,121
724,4948,2046,2046,0,1193,0,200,0,121
734,4958,2046,2046,0,1193,0,200,0,121
744,4968,2046,2046,0,1193,0,200,0,121
754,4978,2046,2046,0,1193,0,200,0,121
764,4988,2046,2046,0,1193,0,200,0,121
774,4998,2046,2046,0,1193,0,200,0,121
784,5008,2046,2046,0,1193,0,200,0,121
794,5018,2046,2046,0,1193,0,200,0,121
804,5028,2046,2046,0,1193,0,200,0,121
814,5038,2046,2046,0,1193,0,200,0,121
824,5048,2046,2046,0,1193,0,200,0,121
834,5058,2046,2046,0,1193,0,200,0,121
844,5068,2046,2046,0,1193,0,200,0,121
854,5078,2046,2046,0,1193,0,200,0,121
864,5088,2046,2046,0,1193,0,200,0,121
874,5098,2046,2046,0,1193,0,200,0,121
884,5108,2046,2046,0,1193,0,200,0,121
894,5118,2046,2046,0,1193,0,200,0,121
904,5128,2046,2046,0,1193,0,200,0,121
914,5138,2046,2046,0,1193,0,200,0,121
924,5148,2046,2046,0,1193,0,200,0,121
934,5158,2046,2046,0,1193,0,200,0,121
944,5168,2046,2046,0,1193,0,200,0,121
954,5178,2046,2046,0,1193,0,200,0,121
964,5188,2046,2046,0,1193,0,200,0,121
974,5198,2046,2046,0,1193,0,200,0,121
984,5208,2046,2046,0,1193,0,200,0,121
994,5218,2046,2046,0,1193,0,200,0,121
1004,5228,2046,2046,0,1193,0,200,0,121
1014,5238,2046,2046,0,1193,0,200,0,121
1023,5247,2046,2046,0,1193,0,200,0,121
1033,5257,2046,2046,0,1193,0,200,0,121
1043,5267,2046,2046,0,1193,0,200,0,121
1052,5276,2047,2046,0,1193,0,200,0,121
1062,5286,2046,2046,0,1193,0,200,0,121
1072,5296,2046,2046,0,1193,0,200,0,121
1082,5306,2046,2046,0,1193,0,200,0,121
1092,5316,2046,2046,0,1193,0,200,0,121
1102,5326,2046,2046,0,1193,0,200,0,121
1112,5336,2046,2046,0,1193,0,200,0,121
1122,5346,2046,2046,0,1193,0,200,0,121
1132,5356,2046,2046,0,1193,0,200,0,121
1142,5366,2046,2046,0,1193,0,200,0,121
1152,5376,2046,2046,0,1193,0,200,0,121
1162,5386,2046,2046,0,1193,0,200,0,121
1172,5396,2046,2046,0,1193,0,200,0,121
1182,5406,2046,2046,0,1193,0,200,0,121
1192,5416,2046,2046,0,1193,0,200,0,121
1202,5426,2046,2046,0,1193,0,200,0,121
1212,5436,2046,2046,0,1193,0,200,0,121
1222,5446,2046,2046,0,1193,0,200,0,121
1232,5456,2046,2046,0,1193,0,200,0,121
1242,5466,2046,2046,0,1193,0,200,0,121
1252,5476,2046,2046,0,1193,0,200,0,121
1262,5486,2046,2046,0,1193,0,200,0,121
1272,5496,2046,2046,0,1193,0,200,0,121
1282,5506,2046,2046,0,1193,0,200,0,121
1292,5516,2046,2046,0,1193,0,200,0,121
1302,5526,2046,2046,0,1193,0,200,0,121
1312,5536,2046,2046,0,1193,0,200,0,121
1322,5546,2046,2046,0,1193,0,200,0,121
1332,5556,2046,2046,0,1193,0,200,0,121
1342,5566,2046,2046,0,1193,0,200,0,121
1352,5576,2046,2046,0,1193,0,200,0,121
1362,5586,2046,2046,0,1193,0,200,0,121
1372,5596,2046,2046,0,1193,0,200,0,121
1382,5606,2046,2046,0,1193,0,200,0,121
1392,5616,2046,2046,0,1193,0,200,0,121
1402,5626,2046,2046,0,1193,0,200,0,121
1412,5636,2046,2046,0,1193,0,200,0,121
1422,5646,2046,2046,0,1193,0,200,0,121
1432,5656,2046,2046,0,1193,0,200,0,121
1442,5666,2046,2046,0,1193,0,200,0,121
1452,5676,2046,2046,0,1193,0,200,0,121
1462,5686,2046,2046,0,1193,0,200,0,121
1472,5696,2046,2046,0,1193,0,200,0,121
1482,5706,2046,2046,0,1193,0,200,0,121
1492,5716,2046,2046,0,1193,0,200,0,121
1502,5726,2046,2046,0,1193,0,200,0,121
1512,5736,2046,2046,0,1193,0,200,0,121
1522,5746,2046,2046,0,1193,0,200,0,121
1532,5756,2046,2046,0,1193,0,200,0,121
1542,5766,2046,2046,0,1193,0,200,0,121
1552,5776,2046,2046,0,1193,0,200,0,121
1562,5786,2046,2046,0,1193,0,200,0,121
1572,5796,2046,2046,0,1193,0,200,0,121
1582,5806,2046,2046,0,1193,0,200,0,121
1592,5816,2046,2046,0,1193,0,200,0,121
1602,5826,2046,2046,0,1193,0,200,0,121
1612,5836,2046,2046,0,1193,0,200,0,121
1622,5846,2046,2046,0,1193,0,200,0,121
1632,5856,2046,2046,0,1193,0,200,0,121
1642,5866,2046,2046,0,1193,0,200,0,121
1652,5876,2046,2046,0,1193,0,200,0,121
